"Data de Ocorrência",Monitoramento,Servico,"Manifestações Quantidade","Usuário","Título","Conteúdo",Link,"Tipo Conteudo","Manifestacoes Detalhado","data_ultima_atualizacao",datacoleta
"2025-03-17T14:10:09.000Z","Desinformação em Políticas Públicas",X,1170682,shwnhscker,,"essa vadia racis do caralho semprw encheu a boca pra falar mal dele e espelhar fake news, ja ate chamou ele de drogado e ainda consegue conhecer e abraçar ele... ah vai pra pqp viu, tomara q os anjos desses homem estejam trabalhando muito pra sua proteção https://x.com/renjuncd/status/1734393949089898890/video/1","https://twitter.com/i/web/status/1901682478672138717","Vídeo","{""favorites"":13,""replies"":0,""retweets"":1,""videoViews"":1170668,""quotes"":0}","2025-03-17T19:11:57.000Z","2025-03-17T17:27:07.000Z"
"2025-03-19T11:00:12.000Z","Desinformação em Políticas Públicas",X,1156247,wIeyner,,"Boatos que a Linn da Quebrada virou Linn da Pedrada KKKKKKKKKKKKK https://x.com/l3vysso/status/1892341544063291489/video/1","https://twitter.com/i/web/status/1902359455540330750","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":1156247,""quotes"":0}","2025-03-19T14:43:56.000Z","2025-03-19T11:00:27.000Z"
"2025-03-19T17:04:15.000Z","Igualdade Racial ",X,1149614,"Gab_Durgante",,"@archie0o Começando que a Pabllo jamais falaria que todo mundo é um pouco racista https://x.com/PablloDailyV/status/1826289990084833691/video/1","https://twitter.com/i/web/status/1902451070313406537",Resposta,"{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":1149613,""quotes"":0}","2025-03-19T20:14:39.000Z","2025-03-19T17:04:31.000Z"
"2025-03-18T12:30:19.000Z","Igualdade Racial ",X,1125094,PorcoMafioso,,"https://x.com/i/status/1901971539840368751/video/1 Alguém ainda acredita que vão combater o racismo na Libertadores?","https://twitter.com/i/web/status/1902019745156579829","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":1125094,""quotes"":0}","2025-03-18T15:37:42.000Z","2025-03-18T13:20:41.000Z"
"2025-03-31T07:55:01.000Z","Desinformação em Políticas Públicas",X,1120949,exobnd,,"to puta q cai nessas fake news https://x.com/tokyotonis/status/1887866233493533126/video/1","https://twitter.com/i/web/status/1906661504625053967","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":1120949,""quotes"":0}","2025-03-31T11:08:26.000Z","2025-03-31T07:55:11.000Z"
"2025-03-21T12:45:03.000Z","Igualdade Racial ",X,1105002,0C0RV0,,"Mulher cai de cara no chão após tentar arrancar um boné MAGA da cabeça de um homem em Nova York. “Ele é racista!” Carma instantâneo. https://x.com/ImMeme0/status/1903084027705192498/video/1","https://twitter.com/i/web/status/1903110615477981263","Vídeo","{""favorites"":1517,""replies"":56,""retweets"":182,""videoViews"":1103242,""quotes"":5}","2025-03-21T14:51:12.000Z","2025-03-21T12:45:11.000Z"
"2025-03-24T10:37:11.000Z","Desinformação em Políticas Públicas",X,1104621,"grazioc_",,"@majuxaro boatos que alvxaro já tá providenciando isso pra gnt https://x.com/acervogeral/status/1899221874678153409/video/1","https://twitter.com/i/web/status/1904165601569869988",Resposta,"{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":1104620,""quotes"":0}","2025-03-24T14:46:12.000Z","2025-03-24T10:37:23.000Z"
"2025-03-30T18:58:26.000Z","Desinformação em Políticas Públicas",X,1097531,burninglikekiss,,"Queria viver a vida toda no ensino médio com kauane https://x.com/anastonem/status/1454469098692296705/video/1","https://twitter.com/i/web/status/1906466070744957016","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":1097531,""quotes"":0}","2025-03-30T22:14:37.000Z","2025-03-30T18:58:34.000Z"
"2025-03-25T23:11:18.000Z","Proteção e Inclusão Vulneraveis: ",X,1096148,aputeller,,"não gente mas tá tudo bem, o motivo dessa derrota segundo o dorival é pq ele projetou esses jogos em cima de um semi aposentado que não aguenta jogar o paulista https://x.com/cucervinho/status/1670454456138211330/video/1","https://twitter.com/i/web/status/1904717766482878678","Vídeo","{""favorites"":10,""replies"":0,""retweets"":0,""videoViews"":1096138,""quotes"":0}","2025-03-26T02:35:14.000Z","2025-03-25T23:11:32.000Z"
"2025-03-26T00:50:42.000Z","Igualdade Racial ",X,1069912,andydosplanetas,,"@capitulada é muito broxante, muito!! Um bando desocupada racista fudida que não tem o que fazer https://x.com/qqrmeme/status/1547623289295495168/video/1","https://twitter.com/i/web/status/1904742782171853250",Resposta,"{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":1069912,""quotes"":0}","2025-03-26T04:18:36.000Z","2025-03-26T00:50:50.000Z"
"2025-03-26T23:22:47.000Z","Proteção e Inclusão Vulneraveis: ",X,1066319,twtdudaa,,"ESSE IDOSO É SURREAL https://x.com/LakersEmpire/status/1905078092835758120/video/1","https://twitter.com/i/web/status/1905083046035943733","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":1066319,""quotes"":0}","2025-03-27T02:34:23.000Z","2025-03-26T23:22:54.000Z"
"2025-03-26T23:06:16.000Z","Proteção e Inclusão Vulneraveis: ",X,1049309,SimplesLakers,,"OBRIGADO LEBRON, MUITO OBRIGADO, EU TE AMO SEU VELHO CADUCO OBRIGADO LUKA DONCIC, POR SER HOMEM E BATER PRA DENTRO AO INVÉS DE INVENTAR UM ARREMESSO PRA 3 PONTOS OBRIGADO https://x.com/LakersEmpire/status/1905078092835758120/video/1","https://twitter.com/i/web/status/1905078887312208001","Vídeo","{""favorites"":16,""replies"":0,""retweets"":0,""videoViews"":1049293,""quotes"":0}","2025-03-27T02:18:50.000Z","2025-03-26T23:06:23.000Z"
"2025-03-20T11:32:51.000Z","Igualdade Racial ",X,1041437,belemtransito,,"AMOR CRISTÃO “Desrespeitar uma menina trans é pecado, é maldade. Deus não quer isso. Deus quer que todos tenham vida em plenitude.”, diz Padre Júlio Lancellotti ao abraçar uma mulher trans vítima de violência. https://x.com/poponze/status/1902452362804900064/video/1","https://twitter.com/i/web/status/1902730056692043944","Vídeo","{""favorites"":7,""replies"":0,""retweets"":0,""videoViews"":1041430,""quotes"":0}","2025-03-20T12:06:00.000Z","2025-03-20T11:33:04.000Z"
"2025-03-26T08:28:42.000Z","Igualdade Racial ",X,1034893,choquei,,"🚨VEJA: Torcedor da Argentina fez gestos racistas para torcedores do Brasil, no Monumental. https://x.com/futebol_info/status/1904733839269732787/video/1","https://twitter.com/i/web/status/1904858041897328915","Vídeo","{""favorites"":843,""replies"":170,""retweets"":39,""videoViews"":1033788,""quotes"":53}","2025-03-26T10:02:29.000Z","2025-03-26T08:28:51.000Z"
"2025-03-29T17:51:59.000Z","Direitos das Crianças e Adolescentes",X,1026571,waneves,,"Vou mudar de emprego depois de anos na mesma escola e os meus colegas de trabalho me abraçaram dizendo que eu levava alegria para aquele lugar, gays né, galera animada… ai vou sentir tanta falta dos queridos 😭 https://x.com/isashapink/status/1858516168497066139/video/1","https://twitter.com/i/web/status/1906086959400747106","Vídeo","{""favorites"":0,""replies"":1,""retweets"":0,""videoViews"":1026570,""quotes"":0}","2025-03-29T21:07:52.000Z","2025-03-29T17:52:11.000Z"
"2025-03-28T19:41:23.000Z","Desinformação em Políticas Públicas",X,1025998,Gozodabillie,,"Imagina ser tão bucetonica a ponto de sofrer com fake News de bullying, ficar 2 anos de hiatus, e depois de tudo isso voltar com um debut solo maior que carreiras??? https://x.com/BRD_SOOJIN/status/1722177138160267362/video/1","https://twitter.com/i/web/status/1905752105518076123","Vídeo","{""favorites"":2,""replies"":0,""retweets"":1,""videoViews"":1025995,""quotes"":0}","2025-03-28T23:15:52.000Z","2025-03-28T19:41:30.000Z"
"2025-03-29T01:58:43.000Z","Desinformação em Políticas Públicas",X,998307,ceciliaramxs,,"gente maior fake news do mundo isso de q sp é a cidade que não dorme kkkkkk viemos rolezar em pinheiros e em 3 rolês que passamos o povo passou avisando que o bar ia fechar (detalhe: isso 00h-01h) .......... https://x.com/sorianvids/status/1724983376401092938/video/1","https://twitter.com/i/web/status/1905847063113306137","Vídeo","{""favorites"":0,""replies"":1,""retweets"":0,""videoViews"":998306,""quotes"":0}","2025-03-29T05:25:13.000Z","2025-03-29T01:58:50.000Z"
"2025-03-23T01:05:41.000Z","Desinformação em Políticas Públicas",X,995772,fefislecter,,"@kyl0brat @clockdatte @VrtualEva boatos q a denise ate hj n saiu da live https://x.com/acervocloures/status/1902859664598949979/video/1","https://twitter.com/i/web/status/1903659389413666914",Resposta,"{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":995771,""quotes"":0}","2025-03-23T04:16:00.000Z","2025-03-23T01:05:51.000Z"
"2025-03-28T14:54:46.000Z","Desinformação em Políticas Públicas",X,983850,darlingxmoon,,"@zukiramman boatos que já esgotou elas arrasam muito mesmo https://x.com/acervopepitaa/status/1498983460899373057/video/1","https://twitter.com/i/web/status/1905679976906584280",Resposta,"{""favorites"":0,""replies"":1,""retweets"":0,""videoViews"":983849,""quotes"":0}","2025-03-28T17:02:33.000Z","2025-03-28T14:54:56.000Z"
"2025-03-31T14:26:25.000Z","Igualdade Racial ",X,978515,cammprock,,"@ivengelico to contratando um auxiliar administrativo pra fazer de escravo igual igual fazem com vc https://x.com/willsreactions/status/1683679523395575814/video/1","https://twitter.com/i/web/status/1906760004306145719",Resposta,"{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":978514,""quotes"":0}","2025-03-31T17:02:02.000Z","2025-03-31T14:50:31.000Z"
"2025-03-25T22:44:34.000Z","Proteção e Inclusão Vulneraveis: ",X,971030,hiraipeko,,"@Noitedecopa joelho do moleque ney depois de um jogo na copa https://x.com/HaterReport_/status/1811050904092635211/video/1","https://twitter.com/i/web/status/1904711039653916895",Resposta,"{""favorites"":1176,""replies"":11,""retweets"":37,""videoViews"":969798,""quotes"":8}","2025-03-26T02:14:45.000Z","2025-03-25T22:44:45.000Z"
"2025-03-20T20:13:12.000Z","Direitos das Crianças e Adolescentes","YouTube - Vídeos",964342,"Gabriel Almeida","quando você tenta jogar no trabalho @Ubisoftbrasil #AssasinsCreedShadows #publi",,"http://www.youtube.com/watch?v=gsnxSCVvF30","Vídeo","{""favorites"":0,""comments"":677,""views"":827736,""likes"":135929}","2025-03-28T08:27:31.000Z","2025-03-28T08:27:31.000Z"
"2025-03-18T21:28:37.000Z","Igualdade Racial ",X,956354,Ana13yara,,"Olha o sorriso do desgraçado sendo racista sério puta que pariu pois cabe aos clubes brasileiros boicotarem essa merda de entidade https://x.com/TNTSportsBR/status/1902006382913573240/video/1","https://twitter.com/i/web/status/1902155210740425189","Vídeo","{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":956353,""quotes"":0}","2025-03-19T02:21:15.000Z","2025-03-18T22:28:59.000Z"
